,점포명,제품군,판매량(int)
1393,(610)부천점,C Type,13397
1387,(600)안양점,C Type,11806
1594,(966)성남점,C Type,11732
1372,(550)은평점,C Type,10278
1390,(601)시화점,C Type,9480
1420,(690)고잔점,C Type,9473
1585,(962)경기광주점,C Type,8882
1360,(490)천안점,C Type,8447
808,(400)상봉점,C Type,8410
802,(380)가양점,C Type,8395
1435,(740)속초점,C Type,8279
1414,(660)연수점,C Type,7869
1498,(932)오산점,C Type,7842
790,(340)구로점,C Type,7831
1375,(560)여수점,C Type,7750
1369,(540)평택점,C Type,7706
1483,(900)순천점,C Type,7652
1591,(964)제천점,C Type,7555
1354,(470)성수점,C Type,7276
1423,(700)문현점,C Type,7260
1495,(931)남양주점,C Type,7218
1438,(750)사상점,C Type,7063
1558,(952)왕십리점,C Type,6862
1465,(840)월계점,C Type,6850
1441,(760)울산점,C Type,6781
31,(1164)광주점,C Type,6708
796,(360)산본점,C Type,6543
1543,(947)동탄점,C Type,6454
376,(181)중동점,C Type,6433
1363,(520)수원점,C Type,6327
1555,(951)청계천점,C Type,6324
1468,(850)용산점,C Type,6141
1021,(410)이천점,C Type,6138
1351,(460)군산점,C Type,6076
1210,(430)목포점,C Type,6056
1357,(480)월배점,C Type,5983
1402,(631)신월점,C Type,5949
1381,(580)연제점,C Type,5919
379,(182)계양점,C Type,5903
1645,(984)천안서북점,C Type,5882
1408,(640)창원점,C Type,5813
1213,(440)동인천점,C Type,5731
1417,(680)강릉점,C Type,5678
1600,(968)광명소하점,C Type,5596
7,(1156)풍산점,C Type,5477
1525,(941)자양점,C Type,5463
784,(320)전주점,C Type,5370
1507,(935)경산점,C Type,5368
1621,(975)파주운정점,C Type,5315
1504,(934)서귀포점,C Type,5312
1519,(939)아산점,C Type,5292
1537,(945)신도림점,C Type,5260
1540,(946)여주점,C Type,5237
1384,(590)칠성점,C Type,5212
1216,(450)만촌점,C Type,5188
505,(240)제주점,C Type,5142
1489,(920)서수원점,C Type,5090
1411,(650)명일점,C Type,5053
10,(1157)김포한강점,C Type,5031
1480,(890)통영점,C Type,5003
1501,(933)용인점,C Type,4963
781,(310)청주점,C Type,4957
70,(151)E/T송림점,C Type,4933
1567,(955)미아점,C Type,4896
1762,(K42)이천점,C Type,4800
1627,(977)대전터미널,C Type,4697
1552,(950)하남점,C Type,4685
1549,(949)도농점,C Type,4666
1450,(790)광산점,C Type,4653
1576,(959)목동점,C Type,4644
1564,(954)안성점,C Type,4642
1429,(720)수지점,C Type,4638
1426,(710)금정점,C Type,4618
82,(155)E/T안산점,C Type,4600
1636,(980)서산점,C Type,4589
1378,(570)포항점,C Type,4543
793,(350)성서점,C Type,4539
1366,(530)충주점,C Type,4527
1396,(620)둔산점,C Type,4525
1459,(820)파주점,C Type,4461
4,(1155)별내점,C Type,4438
1456,(810)양산점,C Type,4436
1492,(930)죽전점,C Type,4434
1516,(938)검단점,C Type,4420
1639,(981)하월곡점,C Type,4420
1207,(420)진주점,C Type,4323
382,(183)평촌점,C Type,4263
1444,(770)동해점,C Type,4228
19,(1160)광교점,C Type,4215
1753,(K38)김해점,C Type,4204
1582,(961)영등포점,C Type,4113
13,(1158)세종점,C Type,4037
391,(186)이동점,C Type,4035
1528,(942)광명점,C Type,4029
1738,(K29)동림동점,C Type,3973
1747,(K35)성주점,C Type,3973
1618,(974)가든5점,C Type,3933
394,(200)창동점,C Type,3892
1534,(944)봉선점,C Type,3828
1633,(979)마포공덕점,C Type,3807
1432,(730)신제주점,C Type,3801
805,(390)해운대점,C Type,3747
799,(370)천호점,C Type,3744
1561,(953)보령점,C Type,3637
1575,(959)목동점,B Type,3548
1597,(967)포천점,C Type,3529
1741,(K31)개봉동점,C Type,3517
454,(2231)서창2점,C Type,3441
1471,(860)안동점,C Type,3429
1768,(K50)번동점,C Type,3272
66,(150)E/T구성점,B Type,3267
45,(1413)E/T스타필드고양점,B Type,3267
1603,(969)천안터미널,C Type,3254
1510,(936)동백점,C Type,3250
1453,(800)양주점,C Type,3220
37,(1409)E/T수원점,C Type,3188
25,(1162)김해터미널점,C Type,3171
1486,(910)춘천점,C Type,3171
1642,(983)화성봉담점,C Type,3139
42,(1412)E/T스타필드하남점,B Type,3137
1630,(978)동구미점,C Type,3128
1,(1154)의정부점,C Type,3119
370,(175)역삼점,C Type,3101
787,(330)원주점,C Type,3086
529,(250)분당점,C Type,3043
1609,(971)진접점,C Type,3015
75,(153)E/T서면점,B Type,2991
421,(210)일산점,C Type,2984
1756,(K39)면목동점,C Type,2980
1615,(973)묵동점,C Type,2916
1491,(930)죽전점,B Type,2904
69,(151)E/T송림점,B Type,2870
1717,(K15)일곡동점,C Type,2866
373,(177)화정점,C Type,2827
1732,(K26)당동점,C Type,2819
1852,(L02)고양동점,C Type,2813
36,(1409)E/T수원점,B Type,2783
652,(2652)동탄카림점,C Type,2777
568,(260)남원점,C Type,2768
1522,(940)태백점,C Type,2763
424,(2127)도봉점,C Type,2754
1392,(610)부천점,B Type,2734
1903,(L27)통일동산점,C Type,2718
57,(1417)E/T월계점,B Type,2716
1879,(L12)일산2호점,C Type,2709
16,(1159)킨텍스점,C Type,2705
1493,(930)죽전점,S Type,2686
664,(2658)김해율하점,C Type,2681
388,(185)마산점,C Type,2671
1915,(L39)본오점,C Type,2595
58,(1417)E/T월계점,C Type,2575
63,(1419)E/T스타필드명지점,B Type,2565
775,(290)김천점,C Type,2550
72,(152)E/T월평점,B Type,2522
1462,(830)반야월점,C Type,2519
1828,(K87)진량점,C Type,2504
28,(1163)의왕점,C Type,2487
67,(150)E/T구성점,C Type,2486
1921,(L44)신길점,C Type,2473
43,(1412)E/T스타필드하남점,C Type,2451
1846,(K99)작전점,C Type,2442
1606,(970)이수점,C Type,2431
1714,(K12)중곡동점,C Type,2417
60,(1418)E/T스타필드부천점,B Type,2408
1834,(K93)동양점,C Type,2393
1777,(K53)월피동점,C Type,2390
1894,(L19)광릉점,C Type,2389
1789,(K68)용현동점,C Type,2388
769,(2887)신탄진점,C Type,2355
48,(1414)E/T군포점,B Type,2338
85,(156)E/T천안점,C Type,2332
1882,(L15)법원점,C Type,2328
73,(152)E/T월평점,C Type,2323
1792,(K70)능동점,C Type,2322
79,(154)E/T비산점,C Type,2315
1509,(936)동백점,B Type,2305
76,(153)E/T서면점,C Type,2302
